,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,ESTOI,PROCESSING_TIME
0,000000,P288,6367,STRAFFIC,-4.0,-5.0,True,2.510244607925415,0.9804750084877014,17.71630859375,0.9242401719093323,0.18869328498840332
1,000001,P288,6367,STRAFFIC,inf,-5.0,True,2.7593231201171875,0.9875756502151489,20.00669288635254,0.9433901309967041,0.018357276916503906
2,000002,P288,6367,STRAFFIC,-4.0,inf,True,2.725870370864868,0.985117495059967,18.855850219726562,0.9433854818344116,0.019436120986938477
3,000003,P288,6367,STRAFFIC,-10.0,-15.0,False,1.9835948944091797,0.9595412611961365,15.50903606414795,0.8547582626342773,0.020071029663085938
4,000004,P288,6367,STRAFFIC,inf,-15.0,False,2.422379970550537,0.9714018702507019,16.655139923095703,0.8892896175384521,0.018110036849975586
5,000005,P288,6367,STRAFFIC,-10.0,inf,False,3.1019797325134277,0.9925737977027893,25.875802993774414,0.968041181564331,0.01718878746032715
6,000006,P272,1578,PSTATION,-5.0,-16.0,True,1.6186795234680176,0.7790881991386414,11.941367149353027,0.567271888256073,0.01606893539428711
7,000007,P272,1578,PSTATION,inf,-16.0,True,1.9199578762054443,0.7935425043106079,12.79599666595459,0.5802645683288574,0.016152381896972656
8,000008,P272,1578,PSTATION,-5.0,inf,True,2.192704916000366,0.8690398335456848,14.214555740356445,0.6717514395713806,0.017264604568481445
9,000009,P272,1578,PSTATION,-9.0,-22.0,False,1.6199848651885986,0.7393425703048706,10.154180526733398,0.510538637638092,0.017249345779418945
10,000010,P272,1578,PSTATION,inf,-22.0,False,1.5968718528747559,0.766805112361908,10.296479225158691,0.5520420670509338,0.015020132064819336
11,000011,P272,1578,PSTATION,-9.0,inf,False,2.6122353076934814,0.8941792845726013,29.15273666381836,0.7838278412818909,0.016468048095703125
12,000012,P288,27,DKITCHEN,-15.0,-16.0,True,1.6121327877044678,0.9182629585266113,10.946352005004883,0.7864375114440918,0.015122652053833008
13,000013,P288,27,DKITCHEN,inf,-16.0,True,2.0590269565582275,0.9783027172088623,14.481614112854004,0.9217055439949036,0.015938282012939453
14,000014,P288,27,DKITCHEN,-15.0,inf,True,1.6013227701187134,0.9274905920028687,12.322400093078613,0.805962860584259,0.015552282333374023
